,Categoria,m00,m01,m02,m03,m10,m11,m12,m20,m21,m30,mu02,mu03,mu11,mu12,mu20,mu21,mu30,nu02,nu03,nu11,nu12,nu20,nu21,nu30
0,Reflejo,970.5,671946.1666666666,465323251.0833333,322296957663.25,1079896.3333333333,747686850.5416666,517772234341.39996,1201689474.5833333,832010298229.1666,1337291564270.2002,87134.7535777688,-79486.2777709961,-2177.3622201681137,7119.099040597677,65475.87464952469,62970.02617955953,-8858.81884765625,0.09251248096833806,-0.0027089644810345858,-0.0023117432790430675,0.00024262535595777498,0.06951687310383217,0.002146075638133471,-0.0003019165857956086
1,Reflejo,1278.0,819280.0,525319586.3333333,336902726933.0,200966.3333333333,128828591.41666666,82602048932.53333,31758557.333333332,20358095412.833332,5043295514.1,108539.07198739052,5123.165100097656,-3722.8034689724445,-25446.763478260487,156470.37445661798,-6727.798574864864,31528.10929298401,0.06645450025065483,8.774274503552647e-05,-0.002279336275242055,-0.000435818256142047,0.09580108202652936,-0.00011522476896040178,0.0005399714436479466
2,Reflejo,897.5,570912.3333333333,363219759.0833333,231118409336.2,194799.3333333333,123912989.95833333,78833591828.48334,42356475.08333333,26942862891.983334,9226287141.7,54419.41524296999,-5818.905303955078,-1597.144854530692,6019.529432835057,75939.96677499264,8545.359128676355,-7252.044315338135,0.06755927125701382,-0.0002411321655607784,-0.001982783938089484,0.00024944591671044783,0.09427607392865375,0.00035411487978533415,-0.0003005206407658214
3,Reflejo,4850.0,2282692.6666666665,1076158892.6666665,508175850341.4,4173938.333333333,1965116048.9166665,926730360691.4333,3594804818.6666665,1693002859461.1333,3098349808656.3003,1790684.325681448,-12845826.726989746,617404.6653492451,557585.6872262955,2689105.1678123474,15516024.399862051,11261899.8515625,0.07612644598496963,-0.007841654673467603,0.026247408453576156,0.00034037469934964157,0.11432055129396737,0.009471660161286304,0.006874756407665165
4,Reflejo,679.5,184341.66666666666,50046874.75,13597189539.800001,365969.8333333333,99283100.70833333,26954097900.4,197143423.91666666,53482084473.433334,106218565821.95001,36793.70593165606,1123.2856750488281,-915.5188761949539,954.7624763287604,36847.154300540686,-1225.7431968450546,-605.3958740234375,0.07968830895256611,9.332899040019344e-05,-0.001982843239374825,7.932712039960662e-05,0.07980406815715942,-0.00010184174657660597,-5.029974740182997e-05
5,Reflejo,4247.5,969970.3333333333,224826857.41666666,52863191165.0,3120570.5,714992797.7916666,166268042099.7,2295107689.25,527608495831.8333,1689819244917.35,3321866.8229579628,3954821.306793213,2371065.460844636,8410511.006114483,2474317.7443499565,7666111.037469983,4550316.2890625,0.184126137167303,0.0033635152138241043,0.131424631854261,0.007153011357683648,0.13714775235510313,0.006519910535807026,0.00386997461546083
6,Reflejo,6938.0,1539413.5,344110363.8333333,77457493059.15001,4246770.333333333,941466947.4166666,210287222991.98334,2608529480.6666665,577814661950.7167,1607781268821.7002,2543064.3259464502,-22731023.352996826,-812611.8991063833,16857891.88971734,9068791.119230747,25162747.05863166,-9414125.73413086,0.05283099068433184,-0.005669349741376534,-0.016881638122027805,0.004204530677785007,0.18839996072844903,0.006275846507824246,-0.002347979255806117
7,Emisor,71539.0,4484447.0,393924907.1666666,40025996906.3,45467550.666666664,2852054557.833333,250753521791.13333,30586107641.833332,1895625300184.7666,21584220394089.402,112815793.31535476,1188883444.5495987,1905391.861187458,150495007.22764587,1688608884.1501083,-24097447660.09169,-1616965864.390625,0.022043683732746695,0.000868524585582509,0.0003723047486583535,0.00010994232814314778,0.3299463585427364,-0.017604102267995032,-0.0011812550790485353
8,No_Emisor,556.0,325816.0,190946788.0,111916631032.0,107864.0,63208304.0,37043676872.0,20958372.0,12281605992.0,4078633496.0,18612.0,0.0,0.0,0.0,32756.0,0.0,0.0,0.060206511050152685,0.0,0.0,0.0,0.10595983644738886,0.0,0.0
9,Reflejo,380.0,207480.0,113295593.33333333,61871966520.0,36480.0,19918080.0,10876376960.0,3513593.333333333,1918421960.0,339515520.0,11513.333333328366,7.62939453125e-06,0.0,4.76837158203125e-07,11513.333333333023,1.695007085800171e-07,1.1920928955078125e-07,0.07973222530005794,2.710385605463768e-12,0.0,1.693991003414855e-13,0.07973222530009018,6.021608644951242e-14,4.234977508537137e-14
10,Reflejo,1214.0,675292.8333333333,375830151.1666666,209275216297.35,365021.1666666666,203148300.66666666,113118312733.96666,109905213.83333333,61196930410.53333,33136725840.65,195545.93490308523,497046.70068359375,103673.10079175234,-286649.3237395808,151958.38465589285,-671731.1663653105,-560345.426235199,0.1326818195347831,0.009679445491928155,0.07034426799350273,-0.005582184733586186,0.10310679677234356,-0.013081236030980782,-0.010912119530087213
11,Reflejo,490.0,127890.0,33395240.0,8724483540.0,84035.0,21933135.0,5727283660.0,14435010.0,3767537610.0,2483495787.5,15950.0,0.0,0.0,-4.656612873077393e-10,23007.499999998137,-9.443610906600952e-07,0.0,0.06643065389421075,0.0,0.0,-8.761529636809148e-17,0.09582465639316178,-1.7768382103448952e-13,0.0
12,Reflejo,727.5,98272.83333333333,13320693.25,1811742172.45,85656.5,11562589.791666666,1566171568.7166667,10125750.25,1365910630.65,1201759346.15,45710.746410842985,-5616.923001289368,-8141.408906072378,-19225.410584257916,40477.40841924399,11747.475728747435,12772.187593221664,0.08636789156640662,-0.00039347394202397497,-0.01538273550113462,-0.0013467690562752833,0.07647979295330758,0.0008229284223337517,0.0008947110365267642
13,No_Emisor,959.0,117072.83333333333,14373445.333333332,1774525328.5500002,307627.1666666666,37584571.58333333,4617962326.733334,98758528.33333333,12075503423.266666,31729874580.45,81424.16055497527,-36803.14033293724,30052.279921211302,-76123.99509254843,78159.54150737822,-23712.564073827118,57842.2260055542,0.08853522096789569,-0.0012922256572500698,0.03267685199673724,-0.002672852878886889,0.08498549117289389,-0.0008325915511063704,0.002030946485562282
14,Reflejo,996.5,14938.0,289034.9166666666,6324549.9,488855.1666666666,7279348.125,140251258.1,239959111.41666666,3549247080.133333,117855098992.55,65107.32609968219,39803.226923462,-48818.93939203769,-77590.59673144668,140371.85149416327,46453.10252808966,112124.01536560059,0.06556548129157741,0.001269769891571199,-0.04916247447303665,-0.0024752315632117707,0.14135963729970427,0.0014819087676901303,0.0035768883539787862
